firm_name,address,licenses,reg_pharma_comp_person,tooltip
AAI MEDICAL AND GENERAL STORES - 9850670225,"AMALNER-C.S. No. 37/6, New Plot Area,,Station Road, Amalner, Tal. Amalner, Dist Jalgaon",RH - 3,"a khalique a kadar khan, BPH, [159838-30/05/2016]","['License: ', '20-113047 (Validity: 04/02/2020)', '20C-113049 (Validity: 04/02/2020)', '21-113048 (Validity: 04/02/2020)']"
AAROGYA MEDICAL STORES - 9420033144,"AMALNER-C.S.T.NO.168/4 GANESH COLONY,DHULE ROAD",R - 2,"sachin subhashchandra oswal, DPH, [41945-19/10/2015]","['License: ', '20-131339 (Validity: 20/10/2020)', '21-131340 (Validity: 20/10/2020)']"
ADITYA MEDICAL AND GENERAL STORES - 9421692805,"AMALNER-SHOP NO. 1, T.P.NO.13/2,,NEW PLOT AREA, OPPOSITE OF D.R.KANYA HIGHSCOOL",R - 2,"mahesh prakash pawar, DPH, [55064-31/08/2010]","['License: ', '20-20/3064 (Validity: 30/08/2020)', '21-21/3064 (Validity: 30/08/2020)']"
AJAY MEDICAL AND SURGICAL - 9420280000,"AMALNER-PLOT NO.62/B/02, OPP.STATE BANK ,,STATION ROAD,",RWH - 6,"ajaykumar ashok saswani, DPH, [104465-19/06/2012]","['License: ', '20-57140 (Validity: 02/08/2017)', '20B-57142 (Validity: 02/08/2017)', '20C-57144 (Validity: 02/08/2017)', '20D-57145 (Validity: 02/08/2017)', '21-57141 (Validity: 02/08/2017)', '21B-57143 (Validity: 02/08/2017)']"
AKSHAY MEDICALS - 9999999999,"AMALNER-C.S.T.NO 162/7, SIDHHAVINAYAK COLONY,MAIN ROAD",RH - 3,"kalpana narayan patil, DPH, [25725-20/12/1997]","['License: ', '20-20/1178 (Validity: 31/12/2017)', '20C-68040 (Validity: 16/01/2018)', '21-21/1178 (Validity: 31/12/2017)']"
AMALNER MEDICAL & GENERAL STORES - 9422278785,"AMALNER-TP NO 5/1 NEAR CENTRAL BANK OF INDIA,NEW PLOT",R - 2,"madhukar narhar joshi, DPH, [2701-23/07/2004]","['License: ', '20-20/6 (Validity: 22/07/2019)', '21-21/6 (Validity: 22/07/2019)']"
AMBIKA MEDICAL AND GENERAL STORES - 9923158695,"KALAMSARE-HOUSE NO 466,MAIN ROAD",R - 2,"ramchandra atmaram patil, DPH, [36295-27/03/1996]","['License: ', '20-194287 (Validity: 31/12/2021)', '21-194288 (Validity: 31/12/2021)']"
ANAND MEDICAL & GENERAL STORES - 9999999999,"MANDAL-SHOP NO.1, HOUSE NO.562/2,AT POST - MANDAL",RH - 3,"rajesh indarchand jain, DPH, [29175-19/03/2013]","['License: ', '20-20/2522 (Validity: 08/03/2017)', '20C-20C/1014 (Validity: 08/03/2017)', '21-21/2522 (Validity: 08/03/2017)']"
ANAND MEDICALS - 9420651921,"AMALNER-T.P NO. 19/A, SHOP NO. G-1,GANESH HOSPITAL, DHULE ROAD",RH - 3,"deepti rajendra walde, BPH, [178191-07/05/2016]","['License: ', '20-150768 (Validity: 19/05/2021)', '20C-150770 (Validity: 19/05/2021)', '21-150769 (Validity: 19/05/2021)']"
ANIL MEDICAL AND GENERAL STORES - 9999999999,"MARWAD-HOUSE NO. 740,,MAIN ROAD,",S - 2,"jaikisan ramkisan zawar, OTH, [C-P-20/11/1985]","['License: ', '20A-20A/241 (Validity: 31/12/2017)', '21A-21A/160A (Validity: 31/12/2017)']"
ANKEETA MEDICO,"AMALNER-GIUDP SHOPPING CENTER,,OPP.NAGAR PALIKA COUNSIL",W - 2,"milind subhash shah, DPH, [11492-18/07/1999]","['License: ', '20B-20B/1019 (Validity: 31/12/2017)', '21B-21B/890 (Validity: 31/12/2017)']"
ARIHANT MEDICAL & GENERAL STORE - 9403033441,"AMALNER-PLOT NO.181/1, SHOP NO. 1/2,,PREM NIWAS SHOPPING CENTER, DULE ROAD",RH - 3,"sanjay champalal jain, DPH, [16244-10/02/1998]","['License: ', '20-174445 (Validity: 31/12/2021)', '20C-174446 (Validity: 31/12/2021)', '21-174447 (Validity: 31/12/2021)']"
ASHOK MEDICAL & GENERAL STORES - 9923283690,"AMALNER-SHOP NO.5, KAPADIYA SHOPPING CENTER,,SUBHASH CHOWK,",RH - 3,"ashok nilkanth patil, DPH, [29137-01/12/1999]","['License: ', '20-20/1463 (Validity: 31/12/2017)', '20C-20C/505 (Validity: 31/12/2017)', '21-21/1463 (Validity: 31/12/2017)']"
ATHARVA MEDICAL & GENERAL STORES - 9823238737,"AMALNER-PLOT NO 181/2, OPP, OF SANE GURUJI SCHOOL,DHULE ROAD",RHX - 4,"manisha gajanan duse, DPH, [72922-15/10/2004]","['License: ', '20-20/2123 (Validity: 14/10/2019)', '20C-113673 (Validity: 11/02/2020)', '20F-113674 (Validity: 11/02/2020)', '21-21/2123 (Validity: 14/10/2019)']"
ATUL MEDICAL & GENERAL STORES - 9764833741,"AMALNER-HOUSE NO 306, GANDHI CHOWK,MAIN RAOD",RH - 3,"sachin haibatrao baviskar, DPH, [48836-02/12/2003]","['License: ', '20-20/997 (Validity: 01/12/2018)', '20C-20C/528 (Validity: 01/12/2018)', '21-21/997 (Validity: 01/12/2018)']"
AVINASH MEDICAL AND GENERAL STORES - 9999999999,"AMALNER-SHOP NO 4, SONALI SHOPPING CENTER,,BHAGWAT ROAD,",R - 2,"avinash chandrakant amritkar, DPH, [21215-26/07/1989]","['License: ', '20-20/376 (Validity: 31/12/2017)', '21-21/376 (Validity: 31/12/2017)']"
BHAGWATI MEDICAL AND GENERAL STORES - 9403021446,"AMALNER-PLOT NO. 171/1, SIDDHIVINAYAK COLONY,OPPOSITE OF S.N.D.T.COLLEGE",RH - 3,"rohan udaykumar ahirrao, BPH, [107373-03/07/2014]","['License: ', '20-100129 (Validity: 17/07/2019)', '20C-100131 (Validity: 17/07/2019)', '21-100130 (Validity: 17/07/2019)']"
CHANDRASA AGENCY - 9422779152,"AMALNER-SHOP NO. 62, T.P.NO. 58+60/2A, NIKUMBH COMPLEX, 1ST FLOOR,ATHWADE BAZAR",WH - 3,"sadanand santosh patil, BSC,DPH, [C-P-17/04/2013]","['License: ', '20B-95213 (Validity: 21/04/2019)', '20D-95215 (Validity: 21/04/2019)', '21B-95214 (Validity: 21/04/2019)']"
CHETAN MEDICAL AND GENERAL STORES - 9403244819,"AMALNER-C.S.NO. 1729,MILL CHOWL, STATION ROAD",RH - 3,"chetan meghraj jain, DPH, [140495-15/04/2015]","['License: ', '20-118098 (Validity: 21/04/2020)', '20C-118100 (Validity: 21/04/2020)', '21-118099 (Validity: 21/04/2020)']"
CHHAJED DISTRIBUTORS - 9175176635,"AMALNER-T.P. NO. 2612/1, BAHERPURA, NEAR VASAIDEVI MANDIR,AMALNER",RWH - 6,"chetankumar fakirchand chhajed, DPH, [103635-30/09/2015]","['License: ', '20-131347 (Validity: 20/10/2020)', '20B-131349 (Validity: 20/10/2020)', '20C-131351 (Validity: 20/10/2020)', '20D-131352 (Validity: 20/10/2020)', '21-131348 (Validity: 20/10/2020)', '21B-131350 (Validity: 20/10/2020)']"
CHHAJED MEDICAL AND GENERAL STORES - 9420651921,"AMALNER-SHOP NO 9, HEDGEVAR SHOPPING CENTER,DHULE ROAD",RH - 3,"sunil madanlal chhajed, DPH, [31988-29/11/2010]","['License: ', '20-20/734 (Validity: 31/12/2017)', '20C-158359 (Validity: 08/03/2021)', '21-21/734 (Validity: 31/12/2017)']"
D S PHARMA - 9503891333,"AMALNER-SHOP NO 1,TP NO.161/5,GANESH COLONY NEAR SANEGURUJI SCHOOL",W - 2,"dipak bhalchandra bari, BPH, [C-P-20/05/2015]","['License: ', '20B-121169 (Validity: 27/05/2020)', '21B-121170 (Validity: 27/05/2020)']"
DARSHAN MEDICAL STORES - 9527378083,"CHAUBARI, TAL. AMALNER-SHOP NO. 1, GF, GHAR NO. 240C,,MAIN ROAD, NEAR BUS STAND,",RH - 3,"dipak kaniram jadhav, DPH, [177008-17/09/2016]","['License: ', '20-165409 (Validity: 26/09/2021)', '20C-165411 (Validity: 26/09/2021)', '21-165410 (Validity: 26/09/2021)']"
DATTA MEDICAL AND GENERAL STORES - 9923444414,"AMALNER-CSNO 3147/A,SUBHASH CHOWK,AMALNER",RWH - 6,"bhushan shirish upasani, DPH, [132283-12/12/2012]","['License: ', '20-65712 (Validity: 17/12/2017)', '20B-65714 (Validity: 17/12/2017)', '20C-65716 (Validity: 17/12/2017)', '20D-65717 (Validity: 17/12/2017)', '21-65713 (Validity: 17/12/2017)', '21B-65715 (Validity: 17/12/2017)']"
DHANSHRI MEDICAL & GENERAL STORE - 9422734321,"AMALNER-SHOP NO.17, DR.HEGDEWAR SHOPPING COMPLEX,,DHULE ROAD",RWH - 6,"nilesh parasmal jain, DPH, [60710-08/04/2002]","['License: ', '20-20/1753 (Validity: 07/04/2017)', '20B-20B/1460 (Validity: 01/05/2018)', '20C-20C/1156 (Validity: 01/05/2018)', '20D-20D/175 (Validity: 01/05/2018)', '21-21/1753 (Validity: 07/04/2017)', '21B-21B/1313 (Validity: 01/05/2018)']"
DHANWANTARI MEDICAL & GENERAL STORES - 9561312540,"AMALNER-SHOP NO 1,C S NO 514,MILKAT NO 175,PLOT NO 36,PAROLA NAKA,PAILAD",R - 2,"nitin vinayak devare, DPH, [65427-16/08/2012]","['License: ', '20-58402 (Validity: 26/08/2017)', '21-58403 (Validity: 26/08/2017)']"
DIPAK MEDICAL - 7588813590,"AMALNER-T.P.NO. 65/1, NEAR SUDEEP COMPLEX,DHULE ROAD",RWH - 6,"dipak ramlal patil, DPH, [100211-04/03/2014]","['License: ', '20-94924 (Validity: 16/04/2019)', '20B-94926 (Validity: 16/04/2019)', '20C-94928 (Validity: 16/04/2019)', '20D-94929 (Validity: 16/04/2019)', '21-94925 (Validity: 16/04/2019)', '21B-94927 (Validity: 16/04/2019)']"
EKDANT AGENCY - 9730843877,"Amalner-TP 20/1, Shop No. G-2, Nandadeep Chambers,,Kacheri Road, Amalner, Tal. Amalner, Dist. Jalgaon",WH - 3,"kiran popatrao chaudhari, DPH, [135018-05/01/2015]","['License: ', '20B-111693 (Validity: 19/01/2020)', '20D-111695 (Validity: 19/01/2020)', '21B-111694 (Validity: 19/01/2020)']"
EKVEERA MEDICAL & GENERAL STORES - 9922697180,"DAHIWAD-HOUSE NO 62,FRONT OF EKVEERA DEVI TEMPLE, MAIN ROAD",RH - 3,"hari yashwant patil, DPH, [20123-11/08/1998]","['License: ', '20-20/1258 (Validity: 31/12/2016)', '20C-48972 (Validity: 20/03/2017)', '21-21/1258 (Validity: 31/12/2016)']"
GAJANAN MEDICAL & GENERAL STORES - 7620867138,"AMALNER-SHOP NO.4, C.S.T.NO. 117/2,,KUNTE ROAD, OPP. TRIKONI BAGICHA,",RH - 3,"kishorkumar shrikisan lakhote, DPH, [33840-24/07/2012]","['License: ', '20-29929 (Validity: 06/05/2021)', '20C-29931 (Validity: 06/05/2021)', '21-29930 (Validity: 06/05/2021)']"
GANESH MEDICAL - 9923694033,"AMALNER-C.S.NO. 2591,KUNTHE ROAD",RH - 3,"nitin gokul patil, DPH, [80971-22/07/2014]","['License: ', '20-100798 (Validity: 24/07/2019)', '20C-100800 (Validity: 24/07/2019)', '21-100799 (Validity: 24/07/2019)']"
GANESH MEDICAL STORES,"AMALNER-ROOM NO 1,1ST FLOOR, C.S.T.NO 2591, NEAR VASAI DEVI MANDIR,KUNTE ROAD,GANESH HOSPITAL,",RH - 3,"niranjan dilip vinchur, DPH, [68779-16/03/2007]","['License: ', '20-20/2528 (Validity: 15/03/2017)', '20C-20C/1020 (Validity: 15/03/2017)', '21-21/2528 (Validity: 15/03/2017)']"
GANPATI MEDICAL STORES - 8888843789,"AMALNER-SHOP NO.1, GF, T.P.NO.106/1,,WAD CHOWK,",R - 2,"vinay somnath brahme, DPH, [104584-06/08/2016]","['License: ', '20-161720 (Validity: 23/08/2021)', '21-161721 (Validity: 23/08/2021)']"
