firm_name,address,licenses,reg_pharma_comp_person,tooltip
AJINKYA MEDICAL AND GENERAL STORES - 7387769103,"KODGAON, tQ. BHADGAON-MALMATTA NO. 443,NEAR BUS STAND",RH - 3,"nitin ananda mali, DPH, [131364-10/07/2014]","['License: ', '20-100173 (Validity: 21/07/2020)', '20C-100175 (Validity: 21/07/2020)', '21-100174 (Validity: 21/07/2020)']"
AKSHADA MEDICO - 9860744459,"BHADGAON-GHAR NO.21,,NEAR MARITI TEMPLE",RWH - 5,"amol anil baheti, BPH, [110937-07/12/2015]","['License: ', '20-136400 (Validity: 21/12/2020)', '20B-136402 (Validity: 21/12/2020)', '20C-136404 (Validity: 21/12/2020)', '21-136401 (Validity: 21/12/2020)', '21B-136403 (Validity: 21/12/2020)']"
ARIHANT MEDICAL AND GENERAL STORES - 9890200782,"MAHINDALE-C.S.NO. 688, GALA NO.1,MAHINDALE",RH - 3,"vinodkumar mishrilal jain, DPH, [44435-26/09/2011]","['License: ', '20-38888 (Validity: 11/10/2021)', '20C-38890 (Validity: 11/10/2021)', '21-38889 (Validity: 11/10/2021)']"
AROGYADHAM MEDICAL & GENERAL STORES - 9970203250,"KAJGAON-SHOP NO 2,MAIN ROAD",R - 2,"panjabrao baburao deokar, DPH, [17075-21/05/1991]","['License: ', '20-20/522 (Validity: 31/12/2017)', '21-21/522 (Validity: 31/12/2017)']"
ASHA MEDICAL AND GENERAL STORES - 7588734542,"BHADGAON-GAT NO. 573, PLOT NO. 23, HOUSE NO. 2074, GALA NO.2,CHALISGAON ROAD",R - 2,"vishal vikram padvi, DPH, [117285-01/10/2014]","['License: ', '20-104497 (Validity: 09/10/2019)', '21-104498 (Validity: 09/10/2019)']"
ASHAPURI MEDICAL & DISTIBUTERS - 9975339414,"BHADGAON-Shop no 763,Ghar No - 763,City servy no - 446/2,Mean Road GONDGAON",RWH - 6,"vinayak walmik jadhav, DPH, [56243-19/03/2014]","['License: ', '20-88993 (Validity: 15/01/2019)', '20B-88995 (Validity: 15/01/2019)', '20C-88997 (Validity: 15/01/2019)', '20D-88998 (Validity: 15/01/2019)', '21-88994 (Validity: 15/01/2019)', '21B-88996 (Validity: 15/01/2019)']"
ASHOKPUSHP MEDICAL AND GENERAL STORES - 9405756141,"WDAE TAL.BHADGAON-HOUSE NO.25,,HOLI MAIDAN COWUK,",RH - 3,"manoj ashokrao patil, DPH, [81519-02/07/2015]","['License: ', '20-124790 (Validity: 21/07/2020)', '20C-124792 (Validity: 21/07/2020)', '21-124791 (Validity: 21/07/2020)']"
BHAI PUKHRAJ HIRACHAND MEDICAL & GENERAL STORES - 9545480200,"BHADGAON-HOUSE NO 2229, BAJAR CHOWK,,MAIN ROAD",RH - 3,"rahul diliprao jain, DPH, [73764-10/01/2017]","['License: ', '20-186438 (Validity: 31/12/2021)', '20C-186439 (Validity: 31/12/2021)', '21-186440 (Validity: 31/12/2021)']"
BHANDARI MEDICAL & GENERAL STORES - 9421514477,"BHADGAON-SHOP NO.9, MALMATTA NO.261,C.S.T.NO.962, GAT NO.4/2,,GROUND FLOOR, DWARKA VYAPARI SANKUL, NEAR BUS STAND,",RH - 3,"suresh madanlal bhandari, DPH, [30247-22/05/2007]","['License: ', '20-197109 (Validity: 24/01/2022)', '20C-46026 (Validity: 24/01/2022)', '21-197110 (Validity: 24/01/2022)']"
CHAKRADHAR SWAMI MEDICAL & GENERAL STORE - 9975908260,"BHADGAON-SHOP NO.3, MILKAT NO.66, WARD NO.2,GANDHI CHOWK, AT POST -AAMADE",R - 2,"dinesh bhimrao patil, DPH, [170008-06/07/2015]","['License: ', '20-20/2251 (Validity: 03/09/2018)', '21-21/2251 (Validity: 03/09/2018)']"
CHAUDHARI MEDICO & GENERAL STORES - 9270522104,"BHADGAON-GALA NO.184,,BADE SIR SHOPPING COMPLEX, FRONT OF BUS STAND,",RH - 3,"anjubai subhash jayaswal, DPH, [75147-29/10/2013]","['License: ', '20-20/2941 (Validity: 27/12/2017)', '20C-20C/1268 (Validity: 27/12/2017)', '21-21/2941 (Validity: 27/12/2017)']"
CHETAN MEDICAL & GENERAL STORES - 9405443365,"BHADGAON TQ. BHADGAON-MALMATTA NO. 3683, GAT NO. 36/1B, SHOP NO. 182,BADHE COMPLEX, INFRONT OF BUS STAND",RWH - 6,"anish anand jain, DPH, [122437-15/10/2013]","['License: ', '20-83950 (Validity: 28/10/2018)', '20B-83952 (Validity: 28/10/2018)', '20C-83954 (Validity: 28/10/2018)', '20D-83955 (Validity: 28/10/2018)', '21-83951 (Validity: 28/10/2018)', '21B-83953 (Validity: 28/10/2018)']"
D-TECH PHARMA CORPORATION - 9422842017,"BHADGAON-GAT NO.37, MALAMATTA NO.3410,CHALISGAON ROAD",WH - 3,"shri. suraj ramkrushna mali, DPH, [148172-15/06/2016]","['License: ', '20B-132656 (Validity: 04/11/2020)', '20D-132658 (Validity: 04/11/2020)', '21B-132657 (Validity: 04/11/2020)']"
DEEPAK MEDICAL AND GENERAL STORES - 7387923123,"KOTHALI-GROUP GRAMPANCHAYAT KOTHALI, HOUSE NO. 333/1,C/O BHASKAR MAHADU PATIL, KANASHI ROAD, NEAR BUS STAND",RH - 3,"deepak bhikan pawar, DPH, [116696-12/06/2014]","['License: ', '20-98357 (Validity: 12/06/2019)', '20C-98359 (Validity: 12/06/2019)', '21-98358 (Validity: 12/06/2019)']"
DEVOTE PHARMACEUTICAL DISTRIBUTORS - 9860424600,"BHADGAON-GALA NO. 3, GAT NO. 40, PLOT NO. 6,,TONGAON,",WH - 3,"rakesh bhagwan chitte, DPH, [C-P-05/02/2014]","['License: ', '20B-91993 (Validity: 28/02/2019)', '20D-91995 (Validity: 28/02/2019)', '21B-91994 (Validity: 28/02/2019)']"
DIVYARUP MEDICAL AND GENERAL STORES - 9922551115,"KAJGAON-HOUSE NO 857,,NAGAD ROAD",RH - 3,"bhushan ashok patil, DPH, [88503-08/05/2015]","['License: ', '20-20/3018 (Validity: 02/05/2020)', '20C-20C/1313 (Validity: 02/05/2020)', '21-21/3018 (Validity: 02/05/2020)']"
DWARKADHISH MEDICAL AND GENERAL STORES - 9975410458,"BHADGAON-GALA NO.1, PLOT NO.12/1,PAROLA ROAD",RH - 3,"ravindra bhikan patil, DPH, [185759-21/03/2016]","['License: ', '20-135345 (Validity: 09/12/2020)', '20C-135347 (Validity: 09/12/2020)', '21-135346 (Validity: 09/12/2020)']"
EKVEERA MEDICAL & GENERAL STORES - 8600206890,"GUDHE-C.S. No. 1160, Ghar No. 494, Gala No.2,,NEAR RAM MANDIR, MAIN ROAD,",RH - 3,"nitin prakash mahajan, DPH, [87696-27/12/2007]","['License: ', '20-20/2648 (Validity: 11/06/2020)', '20C-20C/1096 (Validity: 11/06/2020)', '21-21/2648 (Validity: 11/06/2020)']"
GAJANAN MEDICO & GENERAL STORES - 9922851021,"BHADGAON-SHOP NO.1,GR FLOOR, GAT NO37, PLOT NO.1,JINU SHOPPING COMPLEX, HOUSE NO.3455",RH - 3,"kiran tulshidas patil, DPH, [98362-26/08/2009]","['License: ', '20-20/2921 (Validity: 25/08/2019)', '20C-20C/1257 (Validity: 25/08/2019)', '21-21/2921 (Validity: 25/08/2019)']"
GEETA MEDICAL STORE,"BHADGAON-SHOP NO.1&2 , HOUSE NO.1209,,MAIN ROAD",R - 2,"lalitkumar nemichand bumb, DPH, [9183-05/02/2003]","['License: ', '20-20/1880 (Validity: 31/12/2017)', '21-21/1880 (Validity: 31/12/2017)']"
GURUDATTA MEDICAL & GENERAL STORES - 9595050504,"KAJGAON-SHOP NO 1, SERIAL NO. 209, OPP OF BUS STAND,,MAIN ROAD",R - 2,"nikhil pradip kulkarni, DPH, [107347-28/12/2011]","['License: ', '20-20/2114 (Validity: 12/09/2019)', '21-21/2114 (Validity: 12/09/2019)']"
HEMALI MEDICAL & GENERAL STORES - 9403307372,"BHADGAON-SHRI SAI HOSPITAL, 1ST FLOOR, SHENDE COMPLEX,SHOP NO.1, HOUSE NO.3772/1/1, AT POST- TONGAON",RH - 3,"vilasrao balasaheb pawar, DPH, [18179-13/07/2015]","['License: ', '20-20/2971 (Validity: 07/01/2020)', '20C-20C/1287 (Validity: 07/01/2020)', '21-21/2971 (Validity: 07/01/2020)']"
INDRAYANI MEDICAL AND GENERAL STORES - 7715009727,"Picharde-House No.365,,At Post. Picharde, Tal. Bhadgaon, Dist. Jalgaon",RH - 3,"sunil bhaurao mahajan, DPH, [135286-18/12/2014]","['License: ', '20-110317 (Validity: 30/12/2019)', '20C-110319 (Validity: 30/12/2019)', '21-110318 (Validity: 30/12/2019)']"
JAEE MEDICAL & GENERAL STORES - 9922725400,"VADJI-HOUSE NO. 101,SHIVAJI CHOWK",R - 2,"rajendra ishwar patil, DPH, [27710-25/02/2011]","['License: ', '20-25748 (Validity: 30/09/2019)', '21-25749 (Validity: 30/09/2019)']"
JANAHVI MEDICAL & GENERAL STORES - 9921289593,"GUDHE-HOUSE NO.928/1,,BAZAR ROAD,",RH - 3,"rahul anil mahajan, DPH, [89432-25/04/2011]","['License: ', '20-29600 (Validity: 31/08/2017)', '20C-29602 (Validity: 31/08/2017)', '21-29601 (Validity: 31/08/2017)']"
JAY MEDICAL AND GENERAL STORES - 9011387878,"BHADGAON-H NO 1689,MAIN ROAD BHADGAON",RH - 3,"swapnil devidas patil, DPH, [110073-26/02/2015]","['License: ', '20-114935 (Validity: 03/03/2020)', '20C-114937 (Validity: 03/03/2020)', '21-114936 (Validity: 03/03/2020)']"
