firm_name,address,licenses,reg_pharma_comp_person,tooltip
AAI MEDICAL & GENERAL STORES - 9370697769,"VARANGAON-SHOP NO.1, HOUSE NO.5990, PRATIBHA NAGAR,NEAR AAI MATARNITI HOSPITAL",RH - 3,"sharada laxman patil, DPH, [91879-13/07/2008]","['License: ', '20-20/2753 (Validity: 22/07/2018)', '20C-20C/1172 (Validity: 22/07/2018)', '21-21/2753 (Validity: 22/07/2018)']"
AARYAN MEDICAL AND GENERAL STORES - 9764515548,"BHUSAWAL-SHOP NO. 1, PLOT NO. 48, , C.S.NO. 196/1+2,,RING ROAD, GADKARI NAGAR,",RH - 3,"rajnishkumar shitaldin lone, DPH, [67365-06/05/2014]","['License: ', '20-97691 (Validity: 02/06/2019)', '20C-97693 (Validity: 02/06/2019)', '21-97692 (Validity: 02/06/2019)']"
AASHIRWAD DISTRIBUTORS - 9503511607,"BHUSAWAL-C.S.NO.88 PLOT NO.105A,H.No.7/2909,CHINTAMANI VIHAR,TAPI NAGAR",WH - 3,"ritesh anil ahire, DPH, [123753-23/12/2016]","['License: ', '20B-189957 (Validity: 03/01/2022)', '20D-189959 (Validity: 03/01/2022)', '21B-189958 (Validity: 03/01/2022)']"
ADITYA DISTRIBUTOERS - 9960599240,"BHUSAWAL-PLOT NO.11, C.S.NO.124/3/4/1A, ASHIRWAD BUILDING,,FIRST FLOOR, ANAND NAGAR,",W - 2,"prasad suresh kulkarni, MSC, [C-P-16/06/2010]","['License: ', '20B-20B/1561 (Validity: 29/05/2019)', '21B-21B/1414 (Validity: 29/05/2019)']"
ADITYA MEDICAL - 9923433554,"Bhusawal-C.S.No.3292/A/27, H.No. 4/328, Timber Market,,Opp. Vasant Chaudhari Hospital,",RHX - 4,"bharat chandrakant zope, DPH, [59905-27/05/2013]","['License: ', '20-75497 (Validity: 29/05/2018)', '20C-75499 (Validity: 29/05/2018)', '20F-101832 (Validity: 12/08/2019)', '21-75498 (Validity: 29/05/2018)']"
AISHWARYA PHARMA - 9999999999,"BHUSAWAL-SHOP NO 12, SURABHI TOWER, SURABHI NAGAR,JAMNER ROAD",W - 2,"mahendra shantilal jain, BSC, [C-P-25/07/2007]","['License: ', '20B-20B/1434 (Validity: 24/07/2017)', '21B-21B/1287 (Validity: 24/07/2017)']"
AKASH MEDICAL STORES - 9823096309,"BHUSAWAL-SHOP NO.1, HOUSE NO.4/326, TIMBAR MARKET,DR. VASANT CHAUDHARI HOSPITAL AWAR,",RH - 3,"ashok aildas mulchandani, DPH, [28848-27/06/2008]","['License: ', '20-20/792 (Validity: 26/06/2018)', '20C-20C/244 (Validity: 26/06/2018)', '21-21/792 (Validity: 26/06/2018)']"
AKSA MEDICAL & GENERAL STORES - 9890681886,"BHUSAWAL-SHOP NO.1, HOUSE NO.8/20, GAT NO.22A,,KHADKA ROAD, AZAD MARKET,",RH - 3,"nadeem ahmed gulam dastagir syed, DPH, [35129-18/01/2006]","['License: ', '20-20/2338 (Validity: 17/01/2021)', '20C-20C/850 (Validity: 17/01/2021)', '21-21/2338 (Validity: 17/01/2021)']"
AMAR MEDICAL AND GENERAL STORES,"BHUSAWAL-H. NO 235, SINDHI COLONY,MAIN ROAD",RH - 3,"amar sobhrajmal rohra, DPH, [31155-16/10/1993]","['License: ', '20-20/722 (Validity: 31/12/2017)', '20C-20C/241 (Validity: 31/12/2017)', '21-21/722 (Validity: 31/12/2017)']"
AMAR STORES - 9422785320,"BHUSAWAL-HOUSE NO 856,STATION ROAD",WS - 3,"shekhar kisan tekwani, BCO, [C-P-08/02/1990]","['License: ', '20A-188596 (Validity: 31/12/2021)', '20B-188597 (Validity: 31/12/2021)', '21A-188598 (Validity: 31/12/2021)']"
