firm_name,address,licenses,reg_pharma_comp_person,tooltip
AGRAWAL MEDICAL AND GENERAL STORES - 9766081144,"BODWAD-HOUSE NO. 642, 502,,MAIN ROAD,",R - 2,"sitaram shamlal agrawal, DPH, [10045-25/09/1978]","['License: ', '20-190984 (Validity: 31/12/2021)', '21-190985 (Validity: 31/12/2021)']"
AGRESAN MEDICAL & GENERAL STORES - 9423159008,"BODWAD-SHOP NO.2 & 3, C.S.T NO.2393,,MAIN ROAD, GANDGI CHOWK,",R - 2,"chetan omprakash agrawal, DPH, [72925-30/11/2004]","['License: ', '20-20/2159 (Validity: 29/11/2019)', '21-21/2159 (Validity: 29/11/2019)']"
ANAND MEDICAL & GENERAL STORES - 9421515962,"BODWAD-PLOT NO.24,GANDHI CHOWK, MAIN ROAD,",R - 2,"nitin janardhan sutar, DPH, [48763-01/09/2015]","['License: ', '20-190086 (Validity: 31/12/2021)', '21-190087 (Validity: 31/12/2021)']"
ASWINI MEDICAL AND GENERAL STORES - 9420386427,"BODWAD-C.S.T.NO.2427, OLD PLOT NO.33 (NEW PLOT NO.35),GANDHI CHOWK, MAIN ROAD,",RH - 3,"vilas pralhad teli, DPH, [53206-10/04/2000]","['License: ', '20-190083 (Validity: 31/12/2021)', '20C-20C/1264 (Validity: 07/10/2019)', '21-190084 (Validity: 31/12/2021)']"
ATUL MEDICAL & GENERAL STORES - 9763125711,"BODWAD-HOUSE NO.2085,MAIN ROAD,",RH - 3,"atul ramanalal agrawal, DPH, [39793-01/11/1996]","['License: ', '20-187378 (Validity: 31/12/2021)', '20C-187379 (Validity: 31/12/2021)', '21-187380 (Validity: 31/12/2021)']"
BHARAT MEDICAL AND GENERAL STORES - 9421824093,"STAND, BODWAD-H. NO. 2645, C.S.NO. 2763, S. NO. 14, WING- C,,GAURI-SHANKAR COMPLEX, OPPOSITE OF BUS",RWH - 6,"avinash pralhad patil, BPH, [103173-30/05/2014]","['License: ', '20-98271 (Validity: 11/06/2019)', '20B-98273 (Validity: 11/06/2019)', '20C-98275 (Validity: 11/06/2019)', '20D-98276 (Validity: 11/06/2019)', '21-98272 (Validity: 11/06/2019)', '21B-98274 (Validity: 11/06/2019)']"
CHETAN MEDICAL AND GENERAL STORES - 9370000075,"BODWAD-PLOT NO.320,,NEAR BUS STAND",RH - 3,"dhiraj sunilkumar jain, DPH, [128904-03/09/2015]","['License: ', '20-128185 (Validity: 07/09/2020)', '20C-128187 (Validity: 07/09/2020)', '21-128186 (Validity: 07/09/2020)']"
GANPATI MEDICAL & GENERAL STORES,"BODWAD-C.S.T.NO.2763, GAT NO.174, SHOP NO.6 , VING C,,NEAR BUS STAND",RH - 3,"vijay supada patil, DPH, [78307-24/08/2007]","['License: ', '20-20/2598 (Validity: 23/08/2017)', '20C-20C/1065 (Validity: 23/08/2017)', '21-21/2598 (Validity: 23/08/2017)']"
GAUTAM MEDICAL AND GENARAL STORES - 9404490222,"BODWAD-HOUSE NO. 2667, NEAR OLD TAHSIL OFFICE,,JAMNER ROAD,",RH - 3,"mahavir subhash jain, DPH, [95958-11/11/2009]","['License: ', '20-20/2953 (Validity: 18/09/2018)', '20C-20C/1275 (Validity: 18/09/2018)', '21-21/2953 (Validity: 18/09/2018)']"
GODAVARI MEDICAL & GENERAL STORES - 9423159209,"BODWAD-PLOT NO. 239, Ground Floor and First Floor,,MAIN ROAD,",RWHX - 7,"dinesh damodar gandhi, DPH, [39708-16/05/1997]","['License: ', '20-20/1118 (Validity: 12/10/2019)', '20B-107956 (Validity: 01/12/2019)', '20C-107958 (Validity: 01/12/2019)', '20D-107959 (Validity: 01/12/2019)', '20F-107960 (Validity: 01/12/2019)', '21-21/1118 (Validity: 12/10/2019)', '21B-107957 (Validity: 01/12/2019)']"
GURUKRUPA MEDICAL & GENERAL STORES - 9999999999,"BODWAD-SHOP NO.1, HOUSE NO.251, UNION BANK CHOWK,,AT POST -JAMTHI",RH - 3,"ishwar manik teli, DPH, [34743-14/03/2007]","['License: ', '20-20/2525 (Validity: 13/03/2017)', '20C-20C/1017 (Validity: 13/03/2017)', '21-21/2525 (Validity: 13/03/2017)']"
JAIN MEDICAL & GENERAL STORE - 9423159034,"BODWAD-KRUSHI UTAPPAN BAZAR COMPLEX, GALA NO.27,,STATION RAOD,",RH - 3,"pawan chandmal jain, DPH, [54406-07/05/2010]","['License: ', '20-20/1757 (Validity: 06/05/2020)', '20C-20C/1326 (Validity: 06/05/2020)', '21-21/1757 (Validity: 06/05/2020)']"
JAISWAL MEDICAL & GENERAL STORES - 9766202085,"JAMTHI-HOUSE NO.7/1,,JAMNER ROAD,",R - 2,"rajendra kamalraj jaiswal, DPH, [45483-01/01/2000]","['License: ', '20-186415 (Validity: 31/12/2021)', '21-186416 (Validity: 31/12/2021)']"
JAY MEDICAL AND GENERAL STORES BODWAD TAL BODWAD - 9422774861,"BODWAD-House No.7428, 29, 30,,SARASWATI NAGAR,",RH - 3,"mohammad azharuddin mohammad hisamuddin, DPH, [175026-16/12/2016]","['License: ', '20-116501 (Validity: 23/03/2020)', '20C-116503 (Validity: 23/03/2020)', '21-116502 (Validity: 23/03/2020)']"
KAMAL MEDICAL & GENERAL STORES - 9970212499,"SALSINGI-GRAM PANCHAYAT HOUSE NO.259, SHOP NO.1,MAHAJAN WADI, MAIN ROAD,",RH - 3,"vijay prabhakar chaudhari, DPH, [51619-05/12/2014]","['License: ', '20-20/2819 (Validity: 13/01/2019)', '20C-20C/1207 (Validity: 13/01/2019)', '21-21/2819 (Validity: 13/01/2019)']"
"KAMDHENU VETERINARY WHOLESALE , RETAIL AND GENERAL STORES - 9765151000","BODWAD-HOUSE NO.2, MAIN ROAD,,NEAR SHIVDAR",RWH - 5,"mukul mahadeo gawai, DPH, [134589-22/07/2015]","['License: ', '20-127491 (Validity: 31/08/2020)', '20B-127493 (Validity: 31/08/2020)', '20C-127495 (Validity: 31/08/2020)', '21-127492 (Validity: 31/08/2020)', '21B-127494 (Validity: 31/08/2020)']"
MAHALAXMI MEDICAL & GENERAL STORE,"BODWAD-PLOT NO.63, SHOP NO.1, MAIN ROAD,,SHIVDWARA",R - 2,"gajanan raghunath mali, DPH, [84921-24/04/2007]","['License: ', '20-20/2594 (Validity: 23/08/2017)', '21-21/2594 (Validity: 23/08/2017)']"
MAHAVEER MEDICAL & GENERAL STORES - 9860238222,"BODWAD-HOUSE NO.575,MAIN ROAD",R - 2,"ashokkumar bhawarlal jain, DPH, [7967-22/07/1981]","['License: ', '20-20/120 (Validity: 31/12/2017)', '21-21/120 (Validity: 31/12/2017)']"
MANGALAM MEDICAL & GENERAL STORES - 9421515385,"BODWAD-HOUSE NO.2646,GROUND FLOOR SHOP NO.6,,NEAR TANGA STAND,JAMNER MUKTAI NAGAR MAIN ROAD,",RH - 3,"pravinkumar mangalchand jain, DPH, [78760-11/11/2009]","['License: ', '20-157519 (Validity: 19/07/2021)', '20C-157520 (Validity: 19/07/2021)', '21-157521 (Validity: 19/07/2021)']"
MANGALMURTI AGENCIES - 7083051099,"BODWAD-GRAMPANCHAYAT GHAR NO.2690, CHHATRAPATI SHIVAJI,VYAPARI SANKUL GR.FLOOR GALA NO.11, NEAR BUS STAND",WH - 3,"yogesh sopan patil, BPH, [170326-10/08/2016]","['License: ', '20B-162493 (Validity: 30/08/2021)', '20D-162495 (Validity: 30/08/2021)', '21B-162494 (Validity: 30/08/2021)']"
MUKTAI MEDICAL STORES - 9423186468,"BODWAD-SURVEY NO. 2780, HOUSE NO. 2754, TAL MAJALA, ROOM NO. 1,TULASI HOSPITAL AWAR, NADGAON ROAD",RH - 3,"hitendra yuvraj patil, DPH, [141129-29/08/2016]","['License: ', '20-164528 (Validity: 16/09/2021)', '20C-164530 (Validity: 16/09/2021)', '21-164529 (Validity: 16/09/2021)']"
