firm_name,address,licenses,reg_pharma_comp_person,tooltip
AJINKYA MEDICAL AND GENERAL STORES - 9823362738,"VARDI-SHOP NO 7 AND 8 HOUSE NO 390,VARDI VIKAS SOCIETY",R - 2,"pravin arjun deshmukh, DPH, [34755-05/04/1998]","['License: ', '20-20/1217 (Validity: 11/06/2020)', '21-21/1217 (Validity: 11/06/2020)']"
AMEYA MEDICALS CHOPDA - 9730769888,"CHOPDA-C.S.T.NO 2380, GROUND FLOOR,M.G.ROAD",RH - 3,"dipmala madhukar patil, DPH, [110125-17/09/2013]","['License: ', '20-20/1379 (Validity: 31/12/2017)', '20C-20C/492 (Validity: 31/12/2017)', '21-21/1379 (Validity: 31/12/2017)']"
ANIK MEDICAL & GENERAL STORES - 9881416850,"CHOPDA-C.S.T.NO.2869,,AZAD CHUWK ,",R - 2,"shaikh irfanoddin jahiroddin , DPH, [94932-08/12/2010]","['License: ', '20-21238 (Validity: 21/12/2020)', '21-21239 (Validity: 21/12/2020)']"
APNA MEDICAL & GENERAL STORES - 9028344613,"CHOPDA-C.S.T.NO 659/A, SHOP NO 2,MAIN ROAD",RH - 3,"ajaz iqbal pathan, DPH, [50887-11/02/2005]","['License: ', '20-20/1680 (Validity: 10/02/2020)', '20C-20C/1319 (Validity: 16/05/2020)', '21-21/1680 (Validity: 10/02/2020)']"
ASHALESHA ENTERPRISES - 9011357030,"CHOPDA-C.S.T.NO.2598, SHOP NO.15, CHATRAPATI SHOPPING COMPLEX,,SHIRPUR ROAD,",W - 2,"shailesh ravindra suryavanshi, BPH, [129276-19/07/2012]","['License: ', '20B-57249 (Validity: 03/08/2017)', '21B-57250 (Validity: 03/08/2017)']"
ASHIRWAD MEDICAL & GENERAL STORES - 9096348676,"AT.POST. MAMALDE-MALMATTA NO. 491/2,,MAIN ROAD,",RH - 3,"manisha suresh patil, DPH, [147537-19/12/2013]","['License: ', '20-87670 (Validity: 18/12/2018)', '20C-87672 (Validity: 18/12/2018)', '21-87671 (Validity: 18/12/2018)']"
ASHISH FERTILIZER - 9421515201,"ADAWAD TAL. CHOPDA-HOUSE NO.1129,,MAIN ROAD, RANA PRATAP ROAD,",P - 1,"ashish ravindra kothari, OTH, [C-P-22/04/2016]","['License: ', 'POI-147597 (Validity: 31/12/2017)']"
ASHIYANA MEDICAL & GENERAL STORES - 9823233144,"CHOPDA-C.S.T.NO 3828, SHOP NO 1 BHATGALLI,MAIN RAOD",RH - 3,"aaftabali asgarali, DPH, [112059-01/06/2011]","['License: ', '20-163237 (Validity: 12/09/2021)', '20C-163238 (Validity: 12/09/2021)', '21-163239 (Validity: 12/09/2021)']"
ASHOK MEDICAL STORES - 8087802380,"CHOPDA-C.S. NO 1211,,MAHATMA GHANDHI ROAD",RH - 3,"avinash virchand jain, DPH, [17084-15/04/1964]","['License: ', '20-186441 (Validity: 31/12/2021)', '20C-186442 (Validity: 31/12/2021)', '21-186443 (Validity: 31/12/2021)']"
ASHWARYA MEDICAL& GENERAL STORES - 9823233144,"CHOPDA-C.S.T.NO 5990, 131 GANESH COLONY,NEGIND COURT,MAIN ROAD",R - 2,"vidyadevi jagannath patil, DPH, [34237-12/04/2002]","['License: ', '20-20/1365 (Validity: 11/04/2017)', '21-21/1365 (Validity: 11/04/2017)']"
ATHARVA MEDICAL & GENERAL STORES - 9822879438,"AKULKHEDE-SHOP NO.1, C.S.T.NO.1077 , HOUSE NO.79,,NEAR AHILLYADEVI CHOWK, MAIN ROAD,",RS - 2,"amol madhukar chaudhari, DPH, [84298-20/11/2010]","['License: ', '20-20/3112 (Validity: 19/11/2020)', '20A-21/3112 (Validity: 19/11/2020)']"
CHAITANYA MEDICAL STORES - 9822677690,"CHOPADA-SHOP NO. 1, C.S.NO. 6026, PLOT NO. 14, GAT NO. 1149, MAHATMA,GANDHI COLLEGE ROAD, NARAYAN WADI",R - 2,"khatik shaikh bhikan shaikh mushtaque, DPH, [185661-26/09/2016]","['License: ', '20-20/2119 (Validity: 10/10/2019)', '21-21/2119 (Validity: 10/10/2019)']"
CHANDRAKIRAN MEDICALS AND GENERAL STORES - 9421561066,"DHANORA-HOUSE NO 823,,GRAMPANCHAYAT SHOPPING CENTER NO. 1, MAIN ROAD",R - 2,"chandrakant bhagawat patil, DPH, [28083-01/01/2000]","['License: ', '20-186989 (Validity: 31/12/2021)', '21-186990 (Validity: 31/12/2021)']"
CHAVANDAMATA MEDICAL & GENERAL STORES - 9158803060,"GHODGAON-HOUSE NO. 505,BUS STAND ROAD",R - 2,"sandip parasmal jain, DPH, [43091-23/08/2001]","['License: ', '20-20/1559 (Validity: 30/12/2019)', '21-21/1559 (Validity: 30/12/2019)']"
CHOPDA MEDICAL AGENCY - 9021504849,"CHOPDA-HOUSE NO 2788,,BAJARPETH",RH - 3,"prakash pandit wani, DPH, [6788-01/04/1992]","['License: ', '20-186188 (Validity: 31/12/2021)', '20C-186189 (Validity: 31/12/2021)', '21-186190 (Validity: 31/12/2021)']"
DADAJI MEDICAL & GENERAL STORES - 9767952995,"LASUR-SHOP NO. 1, HOUSE NO 483/B,WARD NO 6",RH - 3,"ravindra shantaram jaiswal, DPH, [61161-06/06/2009]","['License: ', '20-20/1737 (Validity: 11/11/2018)', '20C-84997 (Validity: 11/11/2018)', '21-21/1737 (Validity: 11/11/2018)']"
DATTA MEDICAL - 9271405194,"CHOPDA-ROOM NO. 1 & 2, GF, C.S.NO.2079/2080,,NEAR BHAI KOTWAL ROAD, GANDHI CHOWK",RH - 3,"kiran dongar patil, [61135-07/02/2017]","['License: ', '20-170288 (Validity: 26/10/2021)', '20C-170290 (Validity: 26/10/2021)', '21-170289 (Validity: 26/10/2021)']"
DATTA MEDICAL & GENERAL STORES - 8605760141,"CHOPDA-C.S.T.NO 2080, GANDHI CHOWK,MAIN ROAD",RH - 3, ,"['License: ', '20-20/2650 (Validity: 19/02/2018)', '20C-20C/1098 (Validity: 19/02/2018)', '21-21/2650 (Validity: 19/02/2018)']"
