firm_name,address,licenses,reg_pharma_comp_person,tooltip
AAI MEDICALSTORES - 9552722267,"PIMPRI KH. TAL. DHARANGAON-SHOP NO.1, GF, PLOT NO.2, GUT NO.121,,JALGAON - DHARANGAON ROAD,",RH - 3,"swapnil dattu patil, DPH, [123062-15/10/2016]","['License: ', '20-168616 (Validity: 19/10/2021)', '20C-168618 (Validity: 19/10/2021)', '21-168617 (Validity: 19/10/2021)']"
ADINATH AGENCIES - 9021708010,"JALGAON-SHOP NO 139, FIRST FLOOR NEW B.J.MARKET,MAIN ROAD",WH - 3,"sachin parasmal jain, BCO, [C-P-27/06/2006]","['License: ', '20B-168437 (Validity: 26/09/2021)', '20D-168438 (Validity: 26/09/2021)', '21B-168439 (Validity: 26/09/2021)']"
ADINATH ENTERPRISES - 9021708010,"DHARANGAON-HOUSE NO. 343, JAIN LANE, DHARANI,NEAR OLD POST OFFICE",W - 2,"manisha nitin jain, BSC, [C-P-20/02/2014]","['License: ', '20B-95437 (Validity: 26/04/2019)', '21B-95438 (Validity: 26/04/2019)']"
AL FATEMA MEDICAL - 9423490760,"PALDHI KR.-ROOM NO1, HOUSE NO.92,,NEAR HANUMAN MANDIR, DESHPANDE WADA,",RH - 3,"patel aziz farooque , DPH, [160981-04/09/2015]","['License: ', '20-23370 (Validity: 28/01/2021)', '20C-23372 (Validity: 28/01/2021)', '21-23371 (Validity: 28/01/2021)']"
ALBATROS PHARMACEUTICALS - 9619668578,"PIMPRI KH.-PLOT NO. 8, GAT NO. 9/1A,MAIN ROAD",WH - 3,"surajchandra jagdishchandra malu , BPH, [C-P-17/07/2014]","['License: ', '20B-102267 (Validity: 20/08/2019)', '20D-102269 (Validity: 20/08/2019)', '21B-102268 (Validity: 20/08/2019)']"
ALIYA MEDICAL AND GENERAL STORES - 9403700386,"PIMPRI KH.-HOUSE NO.356,INDIRA NAGAR,",RH - 3,"anjum mustak kureshi, DPH, [128734-30/01/2016]","['License: ', '20-140336 (Validity: 08/02/2021)', '20C-140338 (Validity: 08/02/2021)', '21-140337 (Validity: 08/02/2021)']"
ARIHANT PHARMA - 9158391100,"DHARANGAON-1289 A NEAR SUBHASH DARWAJA,DHARANGAON",RWH - 6,"rajesh naginchand pagariya, DPH, [49501-01/07/2010]","['License: ', '20-20/3041 (Validity: 19/02/2018)', '20B-20B/1564 (Validity: 19/02/2018)', '20C-95435 (Validity: 26/04/2019)', '20D-95436 (Validity: 26/04/2019)', '21-21/3041 (Validity: 19/02/2018)', '21B-21B/1417 (Validity: 19/02/2018)']"
ARIHANT PHARMA (GODOWN) - 9158391100,"DHARANGAON-GALA NO. 1, 5257/1, NEAR RAILWAY GATE,ERANDOL ROAD",WH - 3,"prachi rameshchandra jain, BSC, [C-P-25/03/2014]","['License: ', '20B-95432 (Validity: 26/04/2019)', '20D-95434 (Validity: 26/04/2019)', '21B-95433 (Validity: 26/04/2019)']"
AROGYAMANDIR MEDICAL AND GENERAL STORES - 9921255544,"PALDHI KH-SHOP NO.1, PLOT NO. 48+49, HOUSE NO 1171,,RUKMINI NAGAR",RH - 3,"yasmeen manzur ahmed deshmukh, DPH, [170281-12/08/2015]","['License: ', '20-20/2725 (Validity: 13/05/2018)', '20C-20C/1159 (Validity: 13/05/2018)', '21-21/2725 (Validity: 13/05/2018)']"
ATHARV MEDICAL AND GENERAL STORES - 8600513981,"AT-POST -CHANDSAR BK.-C.S.NO. 412,MALMATTA NO.350,GROUND FLOOR GALA,,BEHIND SHRIRAM MANDIR",RH - 3,"pradip gunvantrao patil, [104867-10/01/2017]","['License: ', '20-194170 (Validity: 19/01/2022)', '20C-194172 (Validity: 19/01/2022)', '21-194171 (Validity: 19/01/2022)']"
