firm_name,address,licenses,reg_pharma_comp_person,tooltip
ARYAN MEDICALSTORES - 8806655900,"ERANDOL-SHOP NO.23 & 32, GF, PLOT NO. 7B, GUT NO. 1020/1/2,,HIMALAYA SHOPING COMPLEX, NEAR BUS STAND",RH - 3,"qamer zakwan nehal ahmed, DPH, [104842-23/09/2016]","['License: ', '20-165955 (Validity: 30/09/2021)', '20C-165957 (Validity: 30/09/2021)', '21-165956 (Validity: 30/09/2021)']"
AVASH CHEMICALS PVT.LTD. - 9422212038,"ERANDOL-21, NUPUR,INDRAPRASHTHA COLONY",P - 1,"pankaj sharad manudhane, BCO,MBA, [C-P-30/10/2015]","['License: ', 'POI-134924 (Validity: 31/12/2018)']"
BALAJI MEDICALAND GENERAL STORES - 9923493852,"BHATKHEDE-HOUSE NO 526,MAIN ROAD",R - 2,"vaishali gokul patil, DPH, [95254-27/10/2005]","['License: ', '20-20/2303 (Validity: 26/10/2020)', '21-21/2303 (Validity: 26/10/2020)']"
BHAGYESH MEDICAL & GENERAL STORES - 9764463847,"KASODA-SHOP NO.1, C.S.T.NO.1051, HOUSE NO.2791,,WARD NO.4, MAIN ROAD,",RH - 3,"mahendra nilkanth pingale, DPH, [34095-30/05/2006]","['License: ', '20-154880 (Validity: 29/05/2021)', '20C-154881 (Validity: 29/05/2021)', '21-154882 (Validity: 29/05/2021)']"
BIRLA MEDICAL & GENERAL STORES,"ERANDOL-C.S.NO 1998, MARVADI GALLI,MAIN ROAD",RH - 3,"nitin kapurchand birla, DPH, [44158-02/07/2001]","['License: ', '20-20/885 (Validity: 31/12/2017)', '20C-20C/460 (Validity: 31/12/2017)', '21-21/885 (Validity: 31/12/2017)']"
BIYANI MEDICAL & GENERAL STORES - 9766132408,"NIPANE-HOUSE NO 185, ROOM NO. 1,,MAIN ROAD",RH - 3,"mahesh premraj mungad, DPH, [23458-23/02/2007]","['License: ', '20-198789 (Validity: 22/02/2022)', '20C-198790 (Validity: 22/02/2022)', '21-198791 (Validity: 22/02/2022)']"
BIYANI MEDICAL & GENERAL STORES - 9049251065,"ERANDOL-CS.T. NO 2024/B,,MARWADI GALLI",RH - 3,"atul suresh jakhite, DPH, [70022-22/06/2015]","['License: ', '20-20/2776 (Validity: 28/09/2018)', '20C-20C/1185 (Validity: 28/09/2018)', '21-21/2776 (Validity: 28/09/2018)']"
BOHARI MEDICAL & GENERAL STORES - 9175462752,"ERANDOL-C.S.T.NO 2513/1, MALATE CHOWK,MAIN ROAD",RH - 3,"jitendra raghunath patil, DPH, [45196-18/10/2016]","['License: ', '20-20/1350 (Validity: 31/12/2017)', '20C-90396 (Validity: 03/02/2019)', '21-21/1350 (Validity: 31/12/2017)']"
CHAUDHARI MEDICAL & GENERAL STORES - 9860418339,"VIKHRAN-HOUSE NO 170/2,MAIN ROAD",R - 2,"kamlesh pundlik chaudhari, DPH, [50791-12/02/2003]","['License: ', '20-20/1458 (Validity: 11/02/2018)', '21-21/1458 (Validity: 11/02/2018)']"
CHETNA MEDICAL AND GENERAL STORES - 9923484345,"ERANDOL-C.S.T.NO.112C,,MAIN ROAD, ERANDOL",R - 2,"mina arun pawar, DPH, [16377-03/06/1993]","['License: ', '20-179891 (Validity: 31/12/2021)', '21-179892 (Validity: 31/12/2021)']"
DHANDAI MEDICAL AND GENERAL STORES - 9423705782,"Jalgaon-Shop No. 12, Gandhipura Wyapar Sankul, Msawad Naka,Erandol",RH - 3,"shaikh muzaffar shaikh munaf patwe, DPH, [139957-08/11/2013]","['License: ', '20-51798 (Validity: 03/05/2017)', '20C-51800 (Validity: 03/05/2017)', '21-51799 (Validity: 03/05/2017)']"
ERANDOL MEDICAL AGENCY - 9422278523,"ERANDOL-HOUSE NO.714,MAIN ROAD",WH - 3,"yogesh onkarnath kabre, BCO, [C-P-27/12/1996]","['License: ', '20B-189967 (Validity: 19/10/2020)', '20D-189968 (Validity: 19/10/2020)', '21B-189969 (Validity: 19/10/2020)']"
ERANDOL MEDICAL AND GENERAL STORES - 9422278523,"A/P.ERANDOL,-C.S.T. NO.714, 714/1, GR.FLOOR SHOP NO.1,,BHAGWA CHOWK, MAIN ROAD,",RH - 3,"ankita prafulla kabra, DPH, [162429-19/12/2016]","['License: ', '20-188603 (Validity: 01/01/2022)', '20C-188605 (Validity: 01/01/2022)', '21-188604 (Validity: 01/01/2022)']"
FAYAZ MEDICAL AND GENERAL STORES - 7721029036,"KASODA-SR,NO.1364, HOUSE NO.1577/2,MAIN ROAD",RH - 3,"abdul fayaz abdul sattar, DPH, [82833-08/10/2015]","['License: ', '20-132171 (Validity: 29/10/2020)', '20C-132173 (Validity: 29/10/2020)', '21-132172 (Validity: 29/10/2020)']"
GIRNA MEDICAL & GENERALSTORES - 7798980155,"UTRAN-ROOM NO.1 & 2, MALMATTA NO.751,,MAIN ROAD,",R - 2,"rafik ahmed abdul khalil deshmukh, DPH, [21784-17/12/2007]","['License: ', '20-20/2218 (Validity: 09/05/2020)', '21-21/2218 (Validity: 09/05/2020)']"
GURUKRUPA MEDICAL AND GENERAL STORES - 8600964808,"ERANDOL-SHOP NO. 18, C.S.T.NO. 3528, ATHAWADE BAZAR,,NAGARPALIKA VYAPARI SANKUL,",RH - 3,"neha ravindra warule, DPH, [115620-02/02/2012]","['License: ', '20-20/28620 (Validity: 02/01/2017)', '20C-20C/28622 (Validity: 02/01/2017)', '21-21/28621 (Validity: 02/01/2017)']"
GURUKRUPA MEDICAL STORES - 9767186620,"ERANDOL-SHOP NO. 2, GF, PLOT NO.08, GUT NO. 1020/3,,NEAR BAJAJ AUTO, RAMCHANDRA NAGAR,",RH - 3,"nitin mangal patil, DPH, [78086-01/12/2016]","['License: ', '20-178785 (Validity: 08/12/2021)', '20C-178787 (Validity: 08/12/2021)', '21-178786 (Validity: 08/12/2021)']"
KAILAS MEDICAL & GENERAL STORES - 9999999999,"KASODA-1316, NEAR JUMMA MASJID,MAIN ROAD",RH - 3,"kailas bhagirath samdani, DPH, [11137-12/04/2002]","['License: ', '20-20/163 (Validity: 11/04/2017)', '20C-71294 (Validity: 18/03/2018)', '21-21/163 (Validity: 11/04/2017)']"
KAILAS MEDICAL AND GENERAL STORES - 9403381415,"ERANDOL-C.S.T.NO.106/1B,,MULKI CHAVDI, MAIN ROAD",RH - 3,"kailas dagadulal nyati, DPH, [21473-29/04/2004]","['License: ', '20-20/468 (Validity: 28/04/2019)', '20C-49458 (Validity: 27/03/2017)', '21-21/468 (Validity: 28/04/2019)']"
KAMALAI MEDICAL AND GENERAL STORES - 8177895859,"ERANDOL-GAT NO. 1003, PLOT NO. 45,,OPPOSITE OF SAI GAJANAN MANDIR, BEHIND BUS STAND,",RH - 3,"vijay santosh ghuge, DPH, [70108-30/10/2014]","['License: ', '20-90393 (Validity: 03/02/2019)', '20C-90395 (Validity: 03/02/2019)', '21-90394 (Validity: 03/02/2019)']"
KAMLAI MEDICAL & GENERAL STORES - 9766496180,"KASODA-SHOP NO.1, C.S.T.NO.227, HOUSE NO.1262,,POLICE STATION ROAD,",RH - 3,"nitin onkar patil, DPH, [75322-08/03/2013]","['License: ', '20-20/3080 (Validity: 28/09/2020)', '20C-20C/1355 (Validity: 28/09/2020)', '21-21/3080 (Validity: 28/09/2020)']"
KARTAVYA MEDICAL AND GENERAL STORES - 8600277377,"ERANDOL-C.S.T.NO.2805,,AATHAWADE BAZAR",RH - 3,"manoj sunil chaudhari, DPH, [169232-30/10/2015]","['License: ', '20-132674 (Validity: 04/11/2020)', '20C-132676 (Validity: 04/11/2020)', '21-132675 (Validity: 04/11/2020)']"
KASTURAI MEDICAL & GENERAL STORTES - 9766148297,"TALAI-HOUSE NO.562/1,,MAIN ROAD,",R - 2,"rajendra sukdeo patil, DPH, [51180-16/08/2000]","['License: ', '20-176134 (Validity: 31/12/2021)', '21-176135 (Validity: 31/12/2021)']"
KHANDESH MEDICAL & GENERAL STORES - 9960035150,"UTRAN (AH)-SHOP NO.1HOUSE NO.96/1,C.S.T NO.267,MAIN ROAD,",RW - 3,"amajatkha banekha pathan, DPH, [60257-28/11/2005]","['License: ', '20-20/2318 (Validity: 27/11/2020)', '20B-20C/835 (Validity: 27/11/2020)', '21-21/2318 (Validity: 27/11/2020)']"
KIRTI MEDICAL & GENERAL STORE,"KASODA-HOUSE NO.2250,,MAIN ROAD",R - 2,"vilas mahadu wani, DPH, [11008-27/01/1981]","['License: ', '20-20/110 (Validity: 31/12/2017)', '21-21/110 (Validity: 31/12/2017)']"
KISHOR MEDICAL AND GENERAL STORES - 9999999999,"ERANDOL-HOUSE NO. 2047,,MAIN ROAD,",RH - 3,"amol ashok bhakkad, DPH, [89415-16/02/2013]","['License: ', '20-20/152 (Validity: 31/12/2017)', '20C-20C/142 (Validity: 31/12/2017)', '21-21/152 (Validity: 31/12/2017)']"
LAXMI MEDICAL & GENERAL STORES - 9420557744,"RAVANJA-ROOM NO. 1 & 2, HOUSE NO. 82,,MAIN ROAD",RH - 3,"sadhana ananda chaudhari, DPH, [76845-22/08/2011]","['License: ', '20-20/2433 (Validity: 15/09/2018)', '20C-20C/942 (Validity: 15/09/2018)', '21-21/2433 (Validity: 15/09/2018)']"
MATOSHRI MEDICAL & GENERAL STORES - 9730328414,"KASODA-SHOP NO. 1, C.S.NO. 2816, HOUSE NO 1105,,BHATIYA GALLI",RH - 3,"deepak lotan bhamre, DPH, [35999-07/01/2009]","['License: ', '20-20/2814 (Validity: 06/01/2019)', '20C-20C/1206 (Validity: 06/01/2019)', '21-21/2814 (Validity: 06/01/2019)']"
NEW GAUSIYA MEDICAL & GENERAL STORES - 8888474827,"KASODA-HOUSE NO 3193,MAIN ROAD ,KASODA",RH - 3,"shaikh imram shaikh saleem, DPH, [138580-16/07/2013]","['License: ', '20-79751 (Validity: 20/08/2018)', '20C-79753 (Validity: 20/08/2018)', '21-79752 (Validity: 20/08/2018)']"
NEW KAMLAI MEDICAL AND GENERAL STORES - 8805097999,"ERANDOL-1020/3, PLOT NO.16/2, GALA NO.01,NEAR SWAMISAMARTH KENDRA, ERANDOL",RH - 3,"pinjari vasim salim, BPH, [194711-18/01/2017]","['License: ', '20-126839 (Validity: 20/08/2020)', '20C-126841 (Validity: 20/08/2020)', '21-126840 (Validity: 20/08/2020)']"
NEW LAXMI MEDICAL & GENERAL STORES - 9999999999,"KASODA-H. NO 1125, NEAR POST OFFICE,MAIN ROAD",RH - 3,"gunwant tukaram patil, DPH, [51105-09/10/1999]","['License: ', '20-20/1404 (Validity: 31/12/2017)', '20C-71295 (Validity: 18/03/2018)', '21-21/1404 (Validity: 31/12/2017)']"
OM MEDICAL AND GENERAL STORES - 9665644312,"UTARAN-SHOP NO. 1, GRAMPANCHAYAT HOUSE NO. 540,,NEAR AHIR HADDA BUS STAND,",RH - 3,"pramod subhash jaiswal, DPH, [86782-12/01/2012]","['License: ', '20-47275 (Validity: 21/02/2017)', '20C-47277 (Validity: 21/02/2017)', '21-47276 (Validity: 21/02/2017)']"
