"id","firm_name","pharmacist","address","state","city","taluka","geocode","time_stamp"
1,A. S. AGENCIES - 9890086888,"anand popatlalji changedia, BCO, [C-P-05/05/2004]","AHMEDNAGAR-SHOP NO. 02, GROUND FLOOR, MILKAT NO. 5338,,BURUDGALLI, AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,904.058348"
2,A.S.PHARMA - 9999999999,"satish nagorao pathak, BSC, [C-P-13/09/2012]","AHMEDNAGAR-S.NO. 25/2, PLOT NO. 26, SAI PALACE APARTMENT,,ASHTVINAYAK COLONY,PIPELINE ROAD, SAVEDI",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,904.425761"
3,N.A. PHARMACEUTICAL AGENCY - 7588539129,"suhel riyazahmed shaikh, DPH, [69190-16/02/2016]","AHMEDNAGAR-SHOP NO.1 (South side), PR. NO. Z183077120, CS. NO. 65/1A/66,PLOT NO.78, S.T. COLONY, SURYANAGAR, TAPOWAN ROAD,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,904.783747"
4,AARADHYA MEDICAL & GENERAL STORES - 8308506712,"priyanka gorakhnath jagtap, DPH, [147122-04/07/2015]","AHMEDNAGAR-S.NO. 143/1B/1, PLOT NO. 11,BOLHEGAON PHATA, MIDC,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,905.402818"
5,Aasha Medical and General Stores. - 9637445072,"sudhir sitaram tambe, DPH, [100774-22/08/2011]","Dist Ahmednagar.-C.S.No.137,,At Post Burudgaon, Taluka Ahmednagar.",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,905.76813"
6,AASHAN VENTURES - 9890989046,"sarika ajay gandhi, DPH, [73231-22/07/2015]","AHMEDNAGAR-PLOT NO. M-41,MIDC INDUSTRIAL AREA, AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,906.058728"
7,ANUPAM AUSHADHAALAY - 9822990701,"umesh madhukar koshti, DPH, [30852-12/07/1993]","Dist. Ahmednagar-Ghar no. 4316, Patwardhan Chowk,Ahmednagar",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,906.418111"
8,HAYAAT GENERIC AUSHADHI SEVA - 9028127895,"nusratbano md khalil kazi, DPH, [71537-14/03/2016]","AHMEDNAGAR-SHOP NO 6, WEST SIDE,GF.,S. NO. 345/2A, PR NO. Z386098582,,PLOT NO. 8, NEAR AYESHA MASJID, MUKUNDNAGAR,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,906.709868"
9,SHRI AALOK MEDICAL AND HOMEO PHARMACY - 8275522753,"sharmila subhashlal shingavi, DPH, [48822-11/09/2003]","AHMEDNGAR-H.NO.5233,GALA NO. 1, GR. FLOOR,,JUNA BAZAR,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,907.005452"
10,SWARAAJ MEDICAL AND GENERAL STORES - 7769830968,"priyanka kisan gund, DPH, [149185-31/03/2016]","AHMEDNAGAR-SHOP NO. 1, SOUTH SIDE,GR FL, PR NO. Z435118470, S.NO.417/3,,PL.NO.23-29, ANKITA COMPLEX, SONEWADI ROAD, KEDGAON,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,907.361126"
